Name,Email,Major,Classes,Category
Erica Zhong,ez8@rice.edu,"COMP, BIOC","MATH 101/102, ELEC","Natural Science, Engineering"
Erica Zhong7,ez8@rice.edu,"MECH, ENGL","ANTH (all), SOCI (all), Writing","Humanities, Engineering"
Erica Zhong8,ez8@rice.edu,COMP,"ANTH (all), SOCI (all), Writing",Humanities
Erica Zhong9,ez8@rice.edu,BIOC,"MATH 101/102, ELEC",Engineering
Erica Zhong10,ez8@rice.edu,BIOE,"ANTH (all), SOCI (all), Writing",Humanities
Erica Zhong11,ez8@rice.edu,MECH,"ANTH (all), SOCI (all), Writing",Humanities
Erica Zhong12,ez8@rice.edu,COMP,"ANTH (all), SOCI (all), Writing",Humanities
Erica Zhong13,ez8@rice.edu,BIOC,"MATH 101/102, ELEC",Engineering
Erica Zhong14,ez8@rice.edu,BIOE,"ANTH (all), SOCI (all), Writing",Humanities
Erica Zhong1,ez8@rice.edu,BIOC,"BIOC 301, CHEM 121/122",Natural Science
Erica Zhong2,ez8@rice.edu,BIOE,"BIOC 301, CHEM 121/122",Natural Science
Erica Zhong3,ez8@rice.edu,MECH,"ANTH (all), SOCI (all), Writing",Humanities
Erica Zhong4,ez8@rice.edu,COMP,"BIOC 301, CHEM 121/122",Natural Science
Erica Zhong5,ez8@rice.edu,BIOC,"BIOC 301, CHEM 121/122",Natural Science
